state,sex,year,population
Pahang,female,2020,747.1
Pahang,Male,2020,844.2
Pahang,Both,2021,1601.5
Pahang,female,2021,754.4
Pahang,Male,2021,847
Pahang,Both,2022,1614.3
Pahang,female,2022,761.2
Pahang,Male,2022,853
Pahang,Both,2023,1643.2
Pahang,female,2023,770.3
Pahang,Male,2023,872.9
Pahang,Both,2024,1667.7
Pahang,female,2024,778.1
Pahang,Male,2024,889.7
Pahang,Both,2025,1678.2
Pahang,female,2025,783.9
Pahang,Male,2025,894.3
Perak,Both,2016,2482.1
Perak,female,2016,1225.2
Perak,Male,2016,1257
Perak,Both,2017,2493.2
Perak,female,2017,1230.3
Perak,Male,2017,1262.9
Perak,Both,2018,2503.5
Perak,female,2018,1236.7
Perak,Male,2018,1266.7
Perak,Both,2019,2508.8
Perak,female,2019,1240.6
Perak,Male,2019,1268.2
Perak,Both,2020,2496
Perak,female,2020,1195.8
Perak,Male,2020,1300.2
Perak,Both,2021,2515.8
Perak,female,2021,1206.8
Perak,Male,2021,1309
Perak,Both,2022,2514.4
Perak,female,2022,1209.9
Perak,Male,2022,1304.6
Perak,Both,2023,2541.2
Perak,female,2023,1217.9
Perak,Male,2023,1323.4
Perak,Both,2024,2569.4
Perak,female,2024,1225.7
Perak,Male,2024,1343.7
Perak,Both,2025,2574.9
Perak,female,2025,1229.8
Perak,Male,2025,1345.1
Perlis,Both,2016,251
Perlis,female,2016,125.7
Perlis,Male,2016,125.3
Perlis,Both,2017,252
Perlis,female,2017,126.3
Perlis,Male,2017,125.7
Perlis,Both,2018,253.5
Perlis,female,2018,127.2
Perlis,Male,2018,126.3
Perlis,Both,2019,254
Perlis,female,2019,127.6
Perlis,Male,2019,126.5
Perlis,Both,2020,284.9
Perlis,female,2020,142.5
Perlis,Male,2020,142.3
Perlis,Both,2021,287.6
Perlis,female,2021,144
Perlis,Male,2021,143.6
Perlis,Both,2022,289.8
Perlis,female,2022,145.2
Perlis,Male,2022,144.6
Perlis,Both,2023,293.1
Perlis,female,2023,146.9
Perlis,Male,2023,146.2
Perlis,Both,2024,296.8
Perlis,female,2024,148.8
Perlis,Male,2024,147.9
Perlis,Both,2025,297.8
Perlis,female,2025,149.4
Perlis,Male,2025,148.3
"Pulau Pinang",Both,2016,1717.7
"Pulau Pinang",female,2016,853
"Pulau Pinang",Male,2016,864.6
"Pulau Pinang",Both,2017,1744.1
"Pulau Pinang",female,2017,867
"Pulau Pinang",Male,2017,877.1
"Pulau Pinang",Both,2018,1762.8
"Pulau Pinang",female,2018,876.3
"Pulau Pinang",Male,2018,886.5
"Pulau Pinang",Both,2019,1768.8
"Pulau Pinang",female,2019,879.7
"Pulau Pinang",Male,2019,889.1
"Pulau Pinang",Both,2020,1740.4
"Pulau Pinang",female,2020,847.9
"Pulau Pinang",Male,2020,892.6
"Pulau Pinang",Both,2021,1740
"Pulau Pinang",female,2021,848.6
"Pulau Pinang",Male,2021,891.4
"Pulau Pinang",Both,2022,1740.9
"Pulau Pinang",female,2022,849.9
"Pulau Pinang",Male,2022,891
"Pulau Pinang",Both,2023,1772.6
"Pulau Pinang",female,2023,864.2
"Pulau Pinang",Male,2023,908.4
"Pulau Pinang",Both,2024,1800.5
"Pulau Pinang",female,2024,876.7
"Pulau Pinang",Male,2024,923.8
"Pulau Pinang",Both,2025,1803.3
"Pulau Pinang",female,2025,878.6
"Pulau Pinang",Male,2025,924.7
Sabah,Both,2016,3802.8
Sabah,female,2016,1816.2
Sabah,Male,2016,1986.6
Sabah,Both,2017,3855.9
Sabah,female,2017,1842.1
Sabah,Male,2017,2013.8
Sabah,Both,2018,3898.4
Sabah,female,2018,1862.8
Sabah,Male,2018,2035.6
Sabah,Both,2019,3904.4
Sabah,female,2019,1867.2
Sabah,Male,2019,2037.2
Sabah,Both,2020,3418.8
Sabah,female,2020,1639
Sabah,Male,2020,1779.8
Sabah,Both,2021,3412.6
Sabah,female,2021,1633.1
Sabah,Male,2021,1779.5
Sabah,Both,2022,3414.9
Sabah,female,2022,1635.9
Sabah,Male,2022,1779.1
Sabah,Both,2023,3596.7
Sabah,female,2023,1719.9
Sabah,Male,2023,1876.9
Sabah,Both,2024,3742
Sabah,female,2024,1786.9
Sabah,Male,2024,1955
Sabah,Both,2025,3759.6
Sabah,female,2025,1796.7
Sabah,Male,2025,1962.9
Sarawak,Both,2016,2738.7
Sarawak,female,2016,1310.8
Sarawak,Male,2016,1427.9
Sarawak,Both,2017,2766.3
Sarawak,female,2017,1324
Sarawak,Male,2017,1442.3
Sarawak,Both,2018,2791.7
Sarawak,female,2018,1336.5
Sarawak,Male,2018,1455.1
Sarawak,Both,2019,2806
Sarawak,female,2019,1345.7
Sarawak,Male,2019,1460.3
Sarawak,Both,2020,2453.7
Sarawak,female,2020,1184.1
Sarawak,Male,2020,1269.6
Sarawak,Both,2021,2465.6
Sarawak,female,2021,1192
Sarawak,Male,2021,1273.6
Sarawak,Both,2022,2473.5
Sarawak,female,2022,1197.4
Sarawak,Male,2022,1276.1
Sarawak,Both,2023,2502.3
Sarawak,female,2023,1210.4
Sarawak,Male,2023,1292
Sarawak,Both,2024,2517.5
Sarawak,female,2024,1218.3
Sarawak,Male,2024,1299.2
Sarawak,Both,2025,2529.8
Sarawak,female,2025,1225.4
Sarawak,Male,2025,1304.4
Selangor,Both,2016,6291.5
Selangor,female,2016,3019.9
Selangor,Male,2016,3271.6
Selangor,Both,2017,6380.7
Selangor,female,2017,3064.5
Selangor,Male,2017,3316.2
Selangor,Both,2018,6475
Selangor,female,2018,3110.1
Selangor,Male,2018,3365
Selangor,Both,2019,6506.1
Selangor,female,2019,3131
Selangor,Male,2019,3375.1
Selangor,Both,2020,6994.4
Selangor,female,2020,3283.7
Selangor,Male,2020,3710.8
Selangor,Both,2021,7014.7
Selangor,female,2021,3304.7
Selangor,Male,2021,3710
Selangor,Both,2022,7050.3
Selangor,female,2022,3326
Selangor,Male,2022,3724.3
Selangor,Both,2023,7209.7
Selangor,female,2023,3379
Selangor,Male,2023,3830.7
Selangor,Both,2024,7362.7
Selangor,female,2024,3429.2
Selangor,Male,2024,3933.5
Selangor,Both,2025,7406.8
Selangor,female,2025,3453.2
Selangor,Male,2025,3953.6
Terengganu,Both,2016,1183.4
Terengganu,female,2016,580
Terengganu,Male,2016,603.4
Terengganu,Both,2017,1208
Terengganu,female,2017,591.6
Terengganu,Male,2017,616.4
Terengganu,Both,2018,1228.3
Terengganu,female,2018,602.2
Terengganu,Male,2018,626.1
Terengganu,Both,2019,1244.5
Terengganu,female,2019,611.3
Terengganu,Male,2019,633.2
Terengganu,Both,2020,1149.4
Terengganu,female,2020,561.6
Terengganu,Male,2020,587.9
Terengganu,Both,2021,1170.7
Terengganu,female,2021,571.5
Terengganu,Male,2021,599.1
Terengganu,Both,2022,1186.6
Terengganu,female,2022,579.5
Terengganu,Male,2022,607.1
Terengganu,Both,2023,1210
Terengganu,female,2023,589.5
Terengganu,Male,2023,620.6
Terengganu,Both,2024,1231.5
Terengganu,female,2024,598.8
Terengganu,Male,2024,632.8
Terengganu,Both,2025,1246.9
Terengganu,female,2025,606.6
Terengganu,Male,2025,640.3
"W.P. Kuala Lumpur",Both,2016,1789.7
"W.P. Kuala Lumpur",female,2016,871.4
"W.P. Kuala Lumpur",Male,2016,918.3
"W.P. Kuala Lumpur",Both,2017,1793.2
"W.P. Kuala Lumpur",female,2017,873.8
"W.P. Kuala Lumpur",Male,2017,919.4
"W.P. Kuala Lumpur",Both,2018,1790
"W.P. Kuala Lumpur",female,2018,870.7
"W.P. Kuala Lumpur",Male,2018,919.4
