state,year,sex,population
Kelantan,2001,both,1390
Kelantan,2001,female,695
Kelantan,2001,male,695
Kelantan,2002,both,1417
Kelantan,2002,female,708
Kelantan,2002,male,709
Kelantan,2003,both,1440
Kelantan,2003,female,719
Kelantan,2003,male,721
Kelantan,2004,both,1464
Kelantan,2004,female,731
Kelantan,2004,male,733
Kelantan,2005,both,1486
Kelantan,2005,female,742
Kelantan,2005,male,745
Kelantan,2006,both,1508
Kelantan,2006,female,752
Kelantan,2006,male,756
Kelantan,2007,both,1529
Kelantan,2007,female,762
Kelantan,2007,male,767
Kelantan,2008,both,1550
Kelantan,2008,female,772
Kelantan,2008,male,778
Kelantan,2009,both,1570
Kelantan,2009,female,782
Kelantan,2009,male,788
Kelantan,2010,both,1590
Kelantan,2010,female,791
Kelantan,2010,male,799
Kelantan,2011,both,1619
Kelantan,2011,female,805
Kelantan,2011,male,813
Kelantan,2012,both,1651
Kelantan,2012,female,821
Kelantan,2012,male,830
Kelantan,2013,both,1684
Kelantan,2013,female,837
Kelantan,2013,male,847
Kelantan,2014,both,1723
Kelantan,2014,female,855
Kelantan,2014,male,869
Kelantan,2015,both,1761
Kelantan,2015,female,873
Kelantan,2015,male,888
Kelantan,2016,both,1797
Kelantan,2016,female,890
Kelantan,2016,male,907
Kelantan,2017,both,1829
Kelantan,2017,female,906
Kelantan,2017,male,923
Kelantan,2018,both,1860
Kelantan,2018,female,921
Kelantan,2018,male,940
Kelantan,2019,both,1884
Kelantan,2019,female,932
Kelantan,2019,male,952
Kelantan,2020,both,1792
Kelantan,2020,female,892
Kelantan,2020,male,900
Kelantan,2021,both,1812
Kelantan,2021,female,903
Kelantan,2021,male,910
Kelantan,2022,both,1831
Kelantan,2022,female,912
Kelantan,2022,male,918
Kelantan,2023,both,1860
Kelantan,2023,female,926
Kelantan,2023,male,934
Kelantan,2024,both,1888
Kelantan,2024,female,939
Kelantan,2024,male,949
Kelantan,2025,both,1908
Kelantan,2025,female,949
Kelantan,2025,male,959
Melaka,1970,both,419
Melaka,1970,female,213
Melaka,1970,male,206
Melaka,1971,both,425
Melaka,1971,female,216
Melaka,1971,male,208
Melaka,1972,both,430
Melaka,1972,female,219
Melaka,1972,male,210
